domain	rank	taxon	total_genomes	species_clusters	hq_reps	n_class_hq	n_order_hq	n_family_hq	n_genus_hq	n_species_hq
Bacteria	class	Oligoflexia	167	131	83	0	3	14	40	83
Bacteria	class	Calditrichia	110	86	53	0	3	8	39	53
Bacteria	class	Leptospiria	1349	191	160	0	2	8	39	160
Bacteria	class	UBA4802	254	122	78	0	1	7	39	78
Bacteria	class	Bipolaricaulia	305	184	71	0	6	11	37	71
Bacteria	class	Sumerlaeia	109	73	43	0	9	14	37	43
Bacteria	class	Brocadiia	283	132	75	0	4	8	36	75
Bacteria	class	Nitriliruptoria	227	143	61	0	2	5	35	61
Bacteria	class	Omnitrophia	140	99	51	0	1	7	35	51
Bacteria	class	Halanaerobiia	183	102	69	0	4	12	34	69
Bacteria	class	Aquificia	379	178	114	0	2	5	32	114
Bacteria	class	Chthonomonadetes	117	68	45	0	1	3	31	45
Bacteria	class	Peptococcia	296	88	60	0	2	12	31	60
Bacteria	class	Syntrophomonadia	241	125	77	0	1	4	31	77
Bacteria	class	Desulfomonilia	275	122	70	0	2	2	31	70
Bacteria	class	UBA1144	228	120	94	0	2	9	31	94
Bacteria	class	WOR-1	100	65	37	0	7	11	31	37
Bacteria	class	Endomicrobiia	194	122	67	0	4	13	29	67
Bacteria	class	Fusobacteriia	1384	194	142	0	3	7	29	142
Bacteria	class	Desulfitobacteriia	188	112	73	0	2	4	27	73
Bacteria	class	Chitinivibrionia	98	81	48	0	1	7	27	48
Bacteria	class	UBA5829	64	53	38	0	3	5	26	38
Bacteria	class	SAR324	442	88	35	0	2	4	25	35
Bacteria	class	Holophagae	365	157	94	0	3	3	24	94
Bacteria	class	Syntrophobacteria	251	122	67	0	3	5	24	67
Bacteria	class	Zetaproteobacteria	174	133	64	0	1	2	24	64
Bacteria	class	Sysuimicrobiia	207	94	54	0	1	5	24	54
Bacteria	class	Dehalobacteriia	267	74	52	0	3	7	23	52
Bacteria	class	Syntrophorhabdia	195	96	68	0	1	4	23	68
Bacteria	class	Aquicultoria	65	48	31	0	10	13	22	31
Bacteria	class	Zipacnadia	117	79	41	0	3	11	22	41
Bacteria	class	Nitrospinia	236	120	57	0	5	8	22	57
Bacteria	class	Geothermincolia	76	51	33	0	2	6	21	33
Bacteria	class	Desulfarculia	128	95	49	0	4	8	21	49
Bacteria	class	Dissulfuribacteria	113	69	51	0	1	10	21	51
Bacteria	class	Fibrobacteria	439	208	120	0	3	7	21	120
Bacteria	class	Caldisericia	206	84	48	0	5	6	20	48
Bacteria	class	Andersenbacteria	54	42	38	0	2	3	20	38
Bacteria	class	UBA7883	40	32	22	0	2	7	19	22
Bacteria	class	WGA-4E	265	173	132	0	4	7	19	132
Bacteria	class	UBA4882	112	58	40	0	5	6	18	40
